Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name_y,City,Country_y,Postcode,Loyalty Card,Coffee Type_y,Roast Type_y,Size_y,Unit Price_y,Price per 100g,Profit,Total Revenue
VMW-26889-781,2019-06-28,36078-91009-WU,A-L-0.2,2,Arda Curley,San Bernardino,United States,92415,Yes,Ara,L,0.2,3.885,1.9425,0.34965,1.90365
FJQ-60035-234,2021-04-05,08847-29858-HN,A-L-0.2,2,Rudiger Di Bartolomeo,Stockton,United States,95205,Yes,Ara,L,0.2,3.885,1.9425,0.34965,1.90365
TKL-20738-660,2021-10-02,47939-53158-LS,A-L-0.2,1,Cordi Switsur,Nashville,United States,37215,No,Ara,L,0.2,3.885,1.9425,0.34965,1.12665
LOO-35324-159,2020-05-19,68412-11126-YJ,A-L-0.2,4,Boyd Bett,Washington,United States,20520,Yes,Ara,L,0.2,3.885,1.9425,0.34965,3.45765
MDC-03318-645,2022-04-30,43974-44760-QI,A-L-0.2,2,Warner Maddox,New York City,United States,10105,No,Ara,L,0.2,3.885,1.9425,0.34965,1.90365
XWD-18933-006,2019-08-31,79420-11075-MY,A-L-0.2,2,Emlynne Palfrey,Fort Wayne,United States,46852,Yes,Ara,L,0.2,3.885,1.9425,0.34965,1.90365
KTX-17944-494,2019-12-29,74330-29286-RO,A-L-0.2,1,Claudetta Rushe,Charlotte,United States,28299,Yes,Ara,L,0.2,3.885,1.9425,0.34965,1.12665
UJQ-54441-340,2019-07-30,26822-19510-SD,A-L-0.2,5,Gabie Tweed,Fresno,United States,93715,Yes,Ara,L,0.2,3.885,1.9425,0.34965,4.23465
EIP-19142-462,2021-09-06,60973-72562-DQ,A-L-0.2,1,Anson Iddison,Santa Ana,United States,92725,No,Ara,L,0.2,3.885,1.9425,0.34965,1.12665
QTC-71005-730,2021-09-02,14298-02150-KH,A-L-0.2,4,Giordano Lorenzin,San Francisco,United States,94132,No,Ara,L,0.2,3.885,1.9425,0.34965,3.45765
GUU-40666-525,2021-11-24,68555-89840-GZ,A-L-0.2,3,Morgen Seson,Seattle,United States,98109,No,Ara,L,0.2,3.885,1.9425,0.34965,2.68065
ATY-28980-884,2020-07-31,50705-17295-NK,A-L-0.2,6,Cristina Aleixo,Colorado Springs,United States,80935,No,Ara,L,0.2,3.885,1.9425,0.34965,5.01165
